Year_of_Birth Gender Child's_First_Name Count Rank
2011 FEMALE SURY 20 71
2011 FEMALE SYDNEY 35 56
2011 FEMALE SYLVIA 11 80
2011 FEMALE TALIA 26 65
2011 FEMALE TAMAR 11 80
2011 FEMALE TAYLOR 25 66
2011 FEMALE TESSA 14 77
2011 FEMALE TOBY 39 52
2011 FEMALE TZIPORA 12 79
2011 FEMALE TZIPORAH 10 81
2011 FEMALE TZIPPY 10 81
2011 FEMALE TZIVIA 14 77
2011 FEMALE VALENTINA 31 60
2011 FEMALE VALERIE 11 80
2011 FEMALE VANESSA 14 77
2011 FEMALE VERA 19 72
2011 FEMALE VERONICA 22 69
2011 FEMALE VERONIKA 11 80
2011 FEMALE VICTORIA 84 26
2011 FEMALE VIOLET 38 53
2011 FEMALE VIVIAN 30 61
2011 FEMALE VIVIENNE 21 70
2011 FEMALE WILLA 13 78
2011 FEMALE YACHET 13 78
2011 FEMALE YAEL 21 70
2011 FEMALE YASMINE 10 81
2011 FEMALE YEHUDIS 23 68
2011 FEMALE YIDES 25 66
2011 FEMALE YITTY 32 59
2011 FEMALE YOCHEVED 20 71
2011 FEMALE ZISSY 25 66
2011 FEMALE SCARLETT 31 60
2011 FEMALE ZOEY 21 70
2011 MALE AARAV 15 51
2011 MALE AARON 51 19
2011 MALE ABDUL 20 46
2011 MALE ABDULLAH 30 36
2011 MALE ADAM 28 38
2011 MALE ADITYA 14 52
2011 MALE ADRIAN 19 47
2011 MALE AHMED 21 45
2011 MALE AIDAN 32 34
2011 MALE AIDEN 96 7
2011 MALE ALAN 37 30
2011 MALE ALEX 52 18
2011 MALE ALEXANDER 47 22
2011 MALE ALI 13 53
2011 MALE ALLEN 14 52
2011 MALE ALVIN 43 25
2011 MALE ANDREW 70 14
2011 MALE ANDY 43 25
2011 MALE ANSON 18 48
2011 MALE ANTHONY 46 23
2011 MALE ARJUN 27 39
2011 MALE ARMAAN 15 51
2011 MALE ARYAN 18 48
2011 MALE AUSTIN 64 16
2011 MALE AYAAN 31 35
2011 MALE AYDEN 24 42
2011 MALE BENJAMIN 39 28
2011 MALE BENSON 19 47
2011 MALE BRANDON 29 37
2011 MALE BRIAN 40 27
2011 MALE BRYAN 15 51
2011 MALE CALEB 16 50
2011 MALE CALVIN 13 53
2011 MALE CARSON 20 46
2011 MALE CHARLES 17 49
2011 MALE CHRISTIAN 21 45
2011 MALE CHRISTOPHER 21 45
2011 MALE CODY 10 56
2011 MALE CONNOR 11 55
2011 MALE DANIEL 84 10
2011 MALE DANNY 20 46
2011 MALE DARREN 21 45
2011 MALE DAVID 28 38
2011 MALE DEREK 32 34
2011 MALE DEVIN 21 45
2011 MALE DYLAN 53 17
2011 MALE EASON 10 56
2011 MALE EDISON 14 52
2011 MALE EDWIN 15 51
